token;x;y
"distance";0.9110279278733623;0.4065860805409919
"otsuka";0.9344239532311993;0.4070340467223673
"independently";0.960337210323768;0.3506702191581508
"orthogonal";1.0010698752584974;0.4201190359755565
"data";0.9148476255952533;0.40309451885660164
"included";0.8138420518286055;0.4677272584093824
"have";0.918516009276137;0.4043012350106235
"improved";0.9333845817384837;0.32587020219850243
"been";0.9298803504528863;0.43564194114311616
"as";0.9194039361911167;0.4043968502779699
"1";0.9206435081116696;0.40408613694819207
